source_table_index,PREFIX,VARIABLE_NAME,DESCRIPTION,LOCATION_CODE,SCOPE
2,F9_01_,REV_PROG_TOT_CY,Program service revenue - current year,F990-PC-PART-01-LINE-09-CY; F990-EZ-PART-01-LINE-02,PZ
2,F9_01_,REV_PROG_TOT_PY,Program service revenue - prior year,F990-PC-PART-01-LINE-09-PY,PC
2,F9_01_,REV_INVEST_TOT_CY,Investment income - current year,F990-PC-PART-01-LINE-10-CY; F990-EZ-PART-01-LINE-04,PZ
2,F9_01_,REV_INVEST_TOT_PY,Investment income - prior year,F990-PC-PART-01-LINE-10-PY,PC
2,F9_01_,REV_OTH_CY,Other revenue - current year,F990-PC-PART-01-LINE-11-CY,PZ
2,F9_01_,REV_OTH_PY,Other revenue - prior year,F990-PC-PART-01-LINE-11-PY,PC
2,F9_01_,REV_TOT_CY,Total revenue - CY,F990-PC-PART-01-LINE-12-CY; F990-EZ-PART-01-LINE-09,PZ
2,F9_01_,REV_TOT_PY,Total revenue - prior year,F990-PC-PART-01-LINE-12-PY,PC
2,F9_01_,EXP_GRANT_SIMILAR_CY,Grants and similar amounts - CY,F990-PC-PART-01-LINE-13-CY; F990-EZ-PART-01-LINE-10,PZ
2,F9_01_,EXP_GRANT_SIMILAR_PY,Grants and similar amounts - prior year,F990-PC-PART-01-LINE-13-PY,PC
2,F9_01_,EXP_BEN_PAID_MEMB_CY,Benefits paid to members - CY,F990-PC-PART-01-LINE-14-CY; F990-EZ-PART-01-LINE-11,PZ
2,F9_01_,EXP_BEN_PAID_MEMB_PY,Benefits paid to members - PY,F990-PC-PART-01-LINE-14-PY,PC
2,F9_01_,EXP_SAL_ETC_CY,"Salaries, etc - CY",F990-PC-PART-01-LINE-15-CY; F990-EZ-PART-01-LINE-12,PZ
2,F9_01_,EXP_SAL_ETC_PY,Salaries; etc - prior year,F990-PC-PART-01-LINE-15-PY,PC
2,F9_01_,EXP_PROF_FUNDR_TOT_CY,Total professional fundraising expense - CY,F990-PC-PART-01-LINE-16A-CY,PC
2,F9_01_,EXP_PROF_FUNDR_TOT_PY,Total professional fundraising expense - prior year,F990-PC-PART-01-LINE-16A-PY,PC
2,F9_01_,EXP_FUNDR_TOT_CY,Total fundraising expense - CY,F990-PC-PART-01-LINE-16B,PC
2,F9_01_,EXP_OTH_CY,Other expenses -CY,F990-PC-PART-01-LINE-17-CY; F990-EZ-PART-01-LINE-16,PZ
2,F9_01_,EXP_OTH_PY,Other expenses - prior year,F990-PC-PART-01-LINE-17-PY,PC
2,F9_01_,EXP_TOT_CY,Total Expenses - CY,F990-PC-PART-01-LINE-18-CY; F990-EZ-PART-01-LINE-17,PZ
2,F9_01_,EXP_TOT_PY,Total Expenses - prior year,F990-PC-PART-01-LINE-18-PY,PC
2,F9_01_,EXP_REV_LESS_EXP_CY,Excess or deficit - CY,F990-PC-PART-01-LINE-19-CY; F990-EZ-PART-01-LINE-18,PZ
2,F9_01_,EXP_REV_LESS_EXP_PY,Revenues less expenses - prior year,F990-PC-PART-01-LINE-19-PY,PC
2,F9_01_,NAFB_ASSET_TOT_BOY,Total Assets; BOY,F990-PC-PART-01-LINE-20-BOY; F990-EZ-PART-02-LINE-25-BOY,PZ
2,F9_01_,NAFB_ASSET_TOT_EOY,Total Assets; EOY,F990-PC-PART-01-LINE-20-EOY,PZ
2,F9_01_,NAFB_LIAB_TOT_BOY,Total Liabilities; BOY,F990-PC-PART-01-LINE-21-BOY; F990-EZ-PART-02-LINE-26-BOY,PZ
2,F9_01_,NAFB_LIAB_TOT_EOY,Total Liabilities; EOY,F990-PC-PART-01-LINE-21-EOY,PZ
2,F9_01_,NAFB_TOT_BOY,Net Assets or Fund Balances; BOY,F990-PC-PART-01-LINE-22-BOY; F990-EZ-PART-01-LINE-19,PZ
2,F9_01_,NAFB_TOT_EOY,Net Assets or Fund Balances; EOY,F990-PC-PART-01-LINE-22-EOY; F990-EZ-PART-01-LINE-21,PZ
3,F9_01_,INFO_SCHED_O_X,Schedule O contains a response to a question in Part I,F990-EZ-PART-01-LINE-00,EZ
3,F9_01_,EXP_FEE_OTH_PAY_KONTR,Professional fees and other payments to independent contractors,F990-EZ-PART-01-LINE-13,EZ
4,F9_02_,DISC_PREP_THIRD_PARTY_X,Indicates whether IRS may discuss return with preparer,F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_ADDR_CITY,Foreign Address of Preparer Firm (City),F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_ADDR_CNTR,Foreign Address of Preparer Firm (Country),F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_ADDR_L1,Foreign Address of Preparer FIrm (Line 1),F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_ADDR_L2,Foreign Address of Preparer Firm (Line 2),F990-PC-PART-02,SG
