output_column,source_family,rows_total,rows_nonnull,fill_rate,distinct_nonnull_count,column_group,example_source_column
harm_ein__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_ein__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_ein__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_ein__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_ein__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_ein__source_column,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_ein__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_ein__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_tax_year__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_tax_year__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_tax_year__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_tax_year__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_tax_year__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_tax_year__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_tax_year__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_tax_year__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_tax_year__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_tax_year__source_column,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_tax_year__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_tax_year__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_filing_form__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_filing_form__source_family,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_filing_form__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_filing_form__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_filing_form__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_filing_form__source_variant,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_filing_form__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_filing_form__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_filing_form__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_filing_form__source_column,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_filing_form__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_filing_form__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_org_name__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_org_name__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_org_name__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_org_name__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_org_name__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_org_name__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_org_name__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_org_name__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_org_name__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_org_name__source_column,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_org_name__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_org_name__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_state__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_state__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_state__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_state__source_family,nccs_postcard,3461,3461,1.0,2,field_provenance,
harm_state__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_state__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_state__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_state__source_variant,nccs_postcard,3461,3461,1.0,2,field_provenance,
harm_state__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_state__source_column,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_state__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_state__source_column,nccs_postcard,3461,3461,1.0,3,field_provenance,
harm_zip5__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_zip5__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_zip5__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_zip5__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_zip5__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_zip5__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_zip5__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_zip5__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_zip5__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_zip5__source_column,nccs_bmf,29793,29793,1.0,2,field_provenance,
harm_zip5__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_zip5__source_column,nccs_postcard,3461,3461,1.0,2,field_provenance,
harm_county_fips__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_county_fips__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_county_fips__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_county_fips__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_county_fips__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_county_fips__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_county_fips__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_county_fips__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
